unitobs	Rotation	codesp	Sexe	Taille	Classe_Taille	Poids	Nb	dmin	dmax
Pt153	3	Scarsp.	NA	NA	P	NA	3.00	8.00	NA
Pt153	3	Chlosord	NA	NA	P	NA	1.00	5.00	NA
Pt154	1	Suffchry	NA	NA	P	NA	1.00	5.00	NA
Pt154	2	Monogran	NA	NA	P	NA	2.00	5.00	NA
Pt154	3	Scarsp.	NA	NA	P	NA	1.00	5.00	NA
Pt155	2	Suffchry	NA	NA	P	NA	1.00	5.00	NA
Pt155	2	Bodiperd	NA	NA	P	NA	1.00	5.00	NA
Pt157	3	Ctenbino	NA	NA	P	NA	1.00	5.00	NA
Pt157	1	Hemimela	NA	NA	P	NA	1.00	5.00	NA
Pt157	2	Hemimela	NA	NA	P	NA	2.00	5.00	NA
Pt157	1	Parumult	NA	NA	P	NA	3.00	5.00	NA
Pt157	3	Parumult	NA	NA	P	NA	1.00	5.00	NA
Pt157	1	Scarrivu	NA	NA	P	NA	4.00	5.00	NA
Pt157	1	Scarsp.	NA	NA	P	NA	3.00	5.00	NA
Pt157	3	Scarsp.	NA	NA	P	NA	5.00	5.00	NA
Pt161	1	Suffchry	NA	NA	P	NA	1.00	5.00	NA
Pt161	2	Lethrubr	NA	NA	P	NA	1.00	6.00	NA
Pt161	2	Parumult	NA	NA	P	NA	1.00	5.00	NA
Pt164	2	Parupleu	NA	NA	P	NA	2.00	5.00	NA
Pt167	1	Scarsp.	NA	NA	P	NA	15.00	5.00	NA
Pt169	1	Chaeauri	NA	NA	P	NA	1.00	5.00	NA
Pt169	1	Oxycbima	NA	NA	P	NA	1.00	5.00	NA
Pt169	3	Oxycbima	NA	NA	P	NA	1.00	5.00	NA
Pt169	1	Hemimela	NA	NA	P	NA	1.00	5.00	NA
Pt169	1	Scarrivu	NA	NA	P	NA	2.00	5.00	NA
Pt169	3	Chlosord	NA	NA	P	NA	1.00	5.00	NA
Pt172	2	Paruhept	NA	NA	P	NA	5.00	5.00	NA
