codeSp	GrSIH	codeSIH	ISSCAAP	TAXOCODE	codeFAO	codeFB	phylum	categ_bent	classe	ordre	Famille	Genre	espece	identifiant	taille_max	L50	cryptique	mobilite	territorialite	nocturne	comp_gr	agreg_saison	posi_col_eau	strat_demo	ponte	habitat_pref	chgmt_sexe	Trophique_2015	statutIUCN	coeffA	coeffB	niveau_taxo_ab
Absencemacrofaune	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Absence_macrofaune	ge.	sp.	Absencemacrofaune	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NoID	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NoID	ge.	sp.	NoID	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abalstel	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Tetraodontiformes	Balistidae	Abalistes	stellatus	Abalistes_stellatus	60	-999	N	TM	NA	DI	NA	NA	B	5	NA	CO	NA	CA	NA	0,047167983	2,759503731	sp
Ablataen	PO	-999	-999	NA	NA	10232	chordata	NA	Actinopterygii	Scorpaeniformes	Tetrarogidae	Ablabys	taenianotus	Ablabys_taenianotus	15	-999	O	SE	NA	NO	NA	NA	B	2	NA	NA	NA	PI	NA	0,024587436	2,907526131	fa
Ablehian	PO	-999	37	1470100801	BAF	972	chordata	NA	Actinopterygii	Beloniformes	Belonidae	Ablennes	hians	Ablennes_hians	140	-999	N	TM	NA	DI	NA	NA	P	3	NA	C	NA	PI	NA	0,000749255	3,203146771	fa
Abudmarg	PO	-999	-999	NA	NA	11823	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	margariteus	Abudefduf_margariteus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	0,0099	3,267	NA
Abudnota	PO	-999	-999	NA	NA	5686	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	notatus	Abudefduf_notatus	17	-999	NA	NA	NA	NA	NA	NA	P	-999	NA	CO	NA	PL	NA	0,0226	3,132	NA
Abudsaxa	PO	-999	33	1706205702	ABU	1119	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	saxatilis	Abudefduf_saxatilis	23	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Abudsept	PO	-999	-999	NA	NA	5687	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	septemfasciatus	Abudefduf_septemfasciatus	23	-999	N	SE	NA	DI	NA	NA	D	4	NA	CO	NA	HE	NA	0,022562179	3,132017677	ge
Abudsexf	PO	-999	-999	NA	NA	5688	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	sexfasciatus	Abudefduf_sexfasciatus	17	-999	N	SE	NA	DI	NA	NA	P	2	NA	CO	NA	PL	NA	0,021276044	3,151969035	sp
Abudsord	PO	-999	-999	NA	NA	5689	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	sordidus	Abudefduf_sordidus	23	-999	N	SE	NA	DI	NA	NA	P	4	NA	CO	NA	HE	NA	0,022562179	3,132017677	ge
Abudsp.	PO	-999	-999	NA	NA	200004	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	sp.	Abudefduf_sp.	-999	-999	N	SE	NA	DI	NA	NA	D	2	NA	NA	NA	HE	NA	0,022562179	3,132017677	ge
Abudspar	PO	-999	-999	NA	NA	8018	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	sparoides	Abudefduf_sparoides	16	-999	N	SE	NA	DI	NA	NA	P	-999	NA	CO	NA	PL	NA	0,0226	3,132	NA
Abudtaur	PO	-999	-999	NA	NA	1120	chordata	NA	Actinopterygii	Perciformes	Pomacentridae	Abudefduf	taurus	Abudefduf_taurus	25	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
