AMP	UnitObs	type	site	station	carac1	carac2	fraction	jour	mois	an	heure	nebulosite	dirVent	forceVent	etatmer	courant	maree	lune	latitude	longitude	statut_protection	avant_apres	biotope1	biotope2	habitat1	habitat2	habitat3	visibilite	prof_min	prof_max	DimObs1	DimObs2	nb_observateur	observateur
NC	Pt10	SVR	Radiale	Rd	NA	NA	100.00	19	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.31693	166.3042	HR	AP	Floor	NA	Algues	Sable	Herbier	6.00	NA		7.18	NA	1	Leleu
NC	Pt100	SVR	Larégnère	LA	ilot	NA	100.00	27	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.33078	166.32748	RE	AP	Floor	NA	Sable	Débris corallien	Corail	7.00	7.70		10.26	NA	1	Leleu
NC	Pt101	SVR	Larégnère	LA	ilot	NA	100.00	27	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.33082	166.32918	RE	AP	Floor	NA	Sable	Débris corallien	Corail	7.00	6.70		10.26	NA	1	Leleu
NC	Pt102	SVR	Larégnère	LA	ilot	NA	100.00	27	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.33121	166.33079	RE	AP	Floor	NA	Sable	Débris corallien	Roche	7.00	7.40		11.32	NA	1	Leleu
NC	Pt103	SVR	Larégnère	LA	ilot	NA	100.00	27	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.33168	166.33245	RE	AP	Floor	NA	Sable	Roche	Corail	7.00	7.00		11.13	NA	1	Leleu
NC	Pt104	SVR	Larégnère	LA	ilot	NA	100.00	27	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.3317	166.33409	RE	AP	Floor	NA	Sable	Débris corallien	NA	8.00	5.40		9.57	NA	1	Leleu
NC	Pt106	SVR	Larégnère	LA	ilot	NA	66.66	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.3243	166.33174	RE	AP	Floor	NA	Sable	NA	Débris corallien	7.00	4.10		8.56	NA	1	Leleu
NC	Pt107	SVR	Larégnère	LA	ilot	NA	83.33	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32436	166.33046	RE	AP	Floor	NA	Algues	Sable	NA	6.00	3.10		11.31	NA	1	Leleu
NC	Pt108	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32424	166.32901	RE	AP	Floor	NA	Algues	Sable	NA	7.00	3.50		12.12	NA	1	Leleu
NC	Pt11	SVR	Radiale	Rd	NA	NA	100.00	19	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.31975	166.30565	HR	AP	Floor	NA	Algues	Herbier	Sable	7.00	NA		7.58	NA	1	Leleu
NC	Pt110	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32405	166.32594	RE	AP	Floor	NA	Herbier	Sable	NA	5.00	3.90		11.00	NA	1	Leleu
NC	Pt111	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.3238	166.32427	RE	AP	Floor	NA	Algues	Sable	Herbier	6.00	3.40		10.27	NA	1	Leleu
NC	Pt112	SVR	Larégnère	LA	ilot	NA	88.88	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32395	166.32279	RE	AP	Floor	NA	Algues	Sable	Herbier	6.00	3.20		13.09	NA	1	Leleu
NC	Pt114	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32483	166.31983	RE	AP	Floor	NA	Sable	Roche	Corail	7.00	1.80		17.06	NA	1	Leleu
NC	Pt115	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32558	166.31909	RE	AP	Floor	NA	Herbier	Roche	Corail	6.00	1.90		11.33	NA	1	Leleu
NC	Pt116	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32637	166.31816	RE	AP	Floor	NA	Dalle et Sable	Roche	Corail	5.00	1.70		11.00	NA	1	Leleu
NC	Pt117	SVR	Larégnère	LA	ilot	NA	100.00	28	6	2007		NA	NA	NA	NA	NA	NA	NA	-22.32586	166.31661	RE	AP	Floor	NA	Sable	NA	Corail	6.00	2.00		10.30	NA	1	Leleu
